,Atf3,Cdh1,Cdh2,Crb3,Ets1,Fn1,Hmga2,Id1a,Id2,Id3,JunB,Ncam,Ocln,Serpine1,Snail1,Vim,Zeb1,Zeb2,pSmad2
Atf3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cdh1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cdh2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crb3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ets1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fn1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hmga2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Id1a,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Id2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Id3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JunB,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ncam,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ocln,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Serpine1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Snail1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vim,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zeb1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zeb2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
