,W,Y,X,Z
0,84.1841036571,22.4124813159,18.1763812023,16.0358612975
1,84.1841036571,36.1990710481,32.863139651,31.2417770573
2,84.1841036571,46.8872648325,44.3219979951,43.0355726078
3,84.1841036571,55.1973177193,53.2174637122,52.2045241742
4,84.1841036571,61.6523317144,60.1345448188,59.3270818097
5,53.1250010956,58.4139462872,58.7756169977,58.9593249161
6,53.1250010956,57.2441762448,57.4975189286,57.6680343799
7,53.1250010956,56.322921772,56.5284064311,56.6524346048
8,53.1250010956,55.5883932821,55.8111021298,55.8455179636
9,53.1250010956,55.0581038796,55.1760803942,55.2569710271
10,39.6312651052,51.0337723105,51.8071196371,52.2104546193
11,39.6312651052,48.4917809607,49.0924807688,49.4063711379
12,39.6312651052,46.5386561526,46.9407483881,47.2482549141
13,39.6312651052,44.9792365263,45.3486789116,45.5316107958
14,39.6312651052,43.7897030459,44.0688930799,44.2188008445
15,76.1570069218,52.5991889315,50.9425356084,50.1653170412
16,76.1570069218,57.8574869926,56.5518696922,55.9652676276
17,76.1570069218,61.9181018241,60.9588307368,60.4486595448
18,76.1570069218,65.0999450126,64.3325792059,63.9577167591
19,76.1570069218,67.5612162917,66.9757480425,66.6738122174
20,58.6571906926,64.8227253114,65.2360070524,65.4584932273
21,58.6571906926,63.4487149459,63.76812652,63.9430222461
22,58.6571906926,62.411621743,62.5691128899,62.7941903456
23,58.6571906926,61.5469781978,61.7500442129,61.8456307125
24,58.6571906926,60.9063255107,61.0536894964,61.1382213029
25,70.5726406958,63.5908040318,63.0660291433,62.8677718113
26,70.5726406958,65.1292994847,64.7741899149,64.5681457
27,70.5726406958,66.3499858841,66.0530760766,65.9135754108
28,70.5726406958,67.3178433042,67.0098487332,66.9774099697
29,70.5726406958,68.0133642176,67.8617848248,67.750315791
30,54.2648895401,64.2394135109,64.9505453869,65.270408675
31,54.2648895401,62.0364842134,62.5283532105,62.8368831159
32,54.2648895401,60.2873902972,60.7178868092,60.9101744598
33,54.2648895401,58.9313159803,59.3051102567,59.4159283709
34,54.2648895401,57.9093934971,58.146244878,58.2850588697
35,38.6229020033,52.9324546001,53.9037850241,54.4092015235
36,38.6229020033,49.7418269619,50.4979701198,50.8896515819
37,38.6229020033,47.2525937875,47.8706808807,48.1450491349
38,38.6229020033,45.3348070177,45.7974377258,46.0280045813
39,38.6229020033,43.841364528,44.1925112764,44.3798837176
40,35.814379144,41.9266124202,42.351498311,42.5579953823
41,35.814379144,40.5693264954,40.883887755,41.0597370367
42,35.814379144,39.5253535572,39.722934016,39.9056393125
43,35.814379144,38.6826265059,38.8811703373,38.9788989053
44,35.814379144,38.0444241648,38.1951345745,38.2745870231
45,31.6338093594,36.419066209,36.7909045346,36.9153356769
46,31.6338093594,35.3667490252,35.6133948074,35.7517372339
47,31.6338093594,34.5422114547,34.7115331018,34.8409935716
48,31.6338093594,33.8827167902,34.0467204095,34.1154416059
49,31.6338093594,33.3893177074,33.4935487781,33.569766109
50,84.660358907,47.1182543421,44.5224186589,43.2417415846
51,84.660358907,55.4757451174,53.4941794758,52.46313076
52,84.660358907,61.9815357827,60.442948081,59.6405527138
53,84.660358907,67.0491504839,65.8192578406,65.2294665144
54,84.660358907,70.9667802985,70.03583087,69.5531844068
55,87.4854248849,74.777326782,73.8952042499,73.4645979236
56,87.4854248849,77.6086260161,76.9283226262,76.5885862371
57,87.4854248849,79.7911540183,79.3189183983,78.9994730804
58,87.4854248849,81.5153397246,81.122475745,80.8997102922
59,87.4854248849,82.8492566584,82.5352558599,82.3707230979
60,23.4925419854,66.8258115086,69.8603823109,71.30221
61,23.4925419854,57.1686924247,59.516050401,60.6480641387
62,23.4925419854,49.673646412,51.4613091588,52.3767337076
63,23.4925419854,43.8200406849,45.2587021193,45.9213625866
64,23.4925419854,39.3069091844,40.370771125,40.9388585304
65,38.2875265537,39.7124953524,39.8173739802,39.8603462668
66,38.2875265537,39.3957127671,39.4748744938,39.5103071886
67,38.2875265537,39.1574326638,39.1933591305,39.2460453711
68,38.2875265537,38.9582640922,39.0014618641,39.0273817667
69,38.2875265537,38.806276929,38.8470143862,38.8601078359
70,25.8242093306,35.3762860985,36.0240378696,36.3619819455
71,25.8242093306,33.2460372102,33.7514325601,34.0122389774
72,25.8242093306,31.5835225119,31.9994275325,32.1793066423
73,25.8242093306,30.3046532236,30.6130461669,30.7673661229
74,25.8242093306,29.3077928243,29.5416651198,29.6672537724
75,21.400239736,27.3445287708,27.7747125892,27.9593944317
76,21.400239736,26.026384517,26.3400718489,26.5039021625
77,21.400239736,24.9933807232,25.2420498442,25.3645274955
78,21.400239736,24.1826550638,24.4041750211,24.4715416934
79,21.400239736,23.5732639201,23.7135994473,23.7972078643
80,66.0441875187,34.9703881712,32.844868934,31.762996754
81,66.0441875187,41.8958952264,40.2504533617,39.4028623666
82,66.0441875187,47.2615928131,46.0347568421,45.3252186248
83,66.0441875187,51.4649627382,50.4646244321,49.9594712707
84,66.0441875187,54.7105335683,53.9466739571,53.5408945134
85,29.4043108035,47.487558802,48.7228622381,49.3537539247
86,29.4043108035,43.4514531977,44.4245906083,44.9024765539
87,29.4043108035,40.3201430672,41.0755789873,41.4476729202
88,29.4043108035,37.891367857,38.4646154145,38.7673001537
89,29.4043108035,36.0061667011,36.431656292,36.6864857001
90,32.9891417551,35.4840638476,35.6481051018,35.7414137263
91,32.9891417551,34.9245490203,35.0617532691,35.1246302389
92,32.9891417551,34.4815552725,34.6218022972,34.6376032532
93,32.9891417551,34.1585819478,34.239164429,34.2793591423
94,32.9891417551,33.8975110955,33.9611915853,33.9913811388
95,21.4301070484,30.620294643,31.2436261248,31.5686626778
96,21.4301070484,28.5705078773,29.0575697478,29.3076986808
97,21.4301070484,26.9711218199,27.3716447898,27.5443431817
98,21.4301070484,25.7410302029,26.0371441588,26.1862047748
99,21.4301070484,24.7817258588,25.0067441257,25.1275700323
